agents,mode,success_mean,success_ci,min_separation_mean,min_separation_ci,collision_steps_mean,collision_steps_ci,dynamic_collision_steps_mean,dynamic_collision_steps_ci,mean_neighbors_mean,mean_neighbors_ci,mean_steps_mean,mean_steps_ci,mean_steps_to_goal_mean,mean_steps_to_goal_ci
4,distributed,1.0,0.0,1.8202592948645087,0.5885072375548032,0.0,0.0,0.0,0.0,2.5178619339706216,0.07274947609638983,133.66666666666666,13.0175744455119,112.16666666666667,10.906704869533746
4,prioritized,1.0,0.0,1.6666666666666667,0.6533333333333333,0.0,0.0,0.0,0.0,3.0,0.0,42.0,1.1316065276116665,9.5,0.7484873635094539
4,cooperative,1.0,0.0,1.74535599249993,0.7425604182609148,0.0,0.0,0.0,0.0,3.0,0.0,42.0,1.1316065276116665,9.5,0.7484873635094539
4,cbs,1.0,0.0,1.74535599249993,0.7425604182609148,0.0,0.0,0.0,0.0,3.0,0.0,42.0,1.1316065276116665,9.5,0.7484873635094539
8,distributed,1.0,0.0,0.7171894296730931,0.07335171511990553,64.0,93.11547239852247,0.0,0.0,5.434801423756036,0.5427970553762053,193.33333333333334,49.25197435410867,148.125,23.568864171472782
8,prioritized,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.333333333333336,0.6533333333333333,9.916666666666666,0.4547007562977851
8,cooperative,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.333333333333336,0.6533333333333333,9.791666666666666,0.4547007562977851
8,cbs,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.333333333333336,0.6533333333333333,9.791666666666666,0.4547007562977851
12,distributed,1.0,0.0,0.5557366838971644,0.13033691261966318,127.66666666666667,16.175773380102868,0.0,0.0,7.240228576248313,0.1500635696812613,236.66666666666666,13.96667143993554,155.69444444444443,6.887383616905609
12,prioritized,1.0,0.0,0.6666666666666666,0.6533333333333333,0.3333333333333333,0.6533333333333333,0.0,0.0,11.0,0.0,43.666666666666664,0.6533333333333333,9.805555555555555,0.536215591431122
12,cooperative,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,43.666666666666664,0.6533333333333333,9.638888888888888,0.3311726266495691
12,cbs,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,43.666666666666664,0.6533333333333333,9.61111111111111,0.38111111111111073
